case_id,case_display_name,family,model_id,model_display_name,mode,stem,energy_ratio,reconstruction_error,expected_absent,expected_uncertain,expected_present
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,other,0.0034020185093590516,0.11341147943036839,False,False,False
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,piano,0.0402121997960341,0.11341147943036839,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,vocals,0.06642027407811431,0.11341147943036839,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,bass,0.5997113568253581,0.014732054172478666,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,drums,0.03830940128645955,0.014732054172478666,False,False,True
xiaohetang_author,xiaohetang_author,pop,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,other,0.13675092770723882,0.014732054172478666,False,False,False
xiaohetang_author,xiaohetang_author,pop,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,vocals,0.05233297002665363,0.014732054172478666,False,False,True
xiaohetang_author,xiaohetang_author,pop,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,bass,0.5118519276355741,0.03953752229214577,False,False,True
xiaohetang_author,xiaohetang_author,pop,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,drums,0.04689424065904147,0.03953752229214577,False,False,True
xiaohetang_author,xiaohetang_author,pop,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,other,0.22827185308125253,0.03953752229214577,False,False,False
xiaohetang_author,xiaohetang_author,pop,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,vocals,0.04308105149263966,0.03953752229214577,False,False,True
xiaohetang_author,xiaohetang_author,pop,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,bass,0.6601826800993497,0.10901875744440241,False,False,True
